geoid,puma,tract
51059415100,59302,415100
51059415200,59302,415200
51059415300,59302,415300
51059415401,59302,415401
51059415402,59302,415402
51059415500,59302,415500
51059415600,59302,415600
51059415700,59302,415700
51059415800,59302,415800
51059415900,59302,415900
51059416000,59302,416000
51059416100,59302,416100
51059416200,59304,416200
51059416300,59304,416300
51059420100,59306,420100
51059420201,59306,420201
51059420202,59306,420202
51059420203,59302,420203
51059420300,59302,420300
51059420400,59302,420400
51059420501,59302,420501
51059420502,59302,420502
51059420503,59302,420503
51059420600,59302,420600
51059420700,59302,420700
51059420800,59302,420800
51059421001,59306,421001
51059421002,59306,421002
51059421101,59306,421101
51059421102,59306,421102
51059421103,59306,421103
51059421200,59302,421200
51059421300,59302,421300
51059421400,59302,421400
51059421500,59302,421500
51059421600,59302,421600
51059421701,59302,421701
51059421702,59302,421702
51059421800,59302,421800
51059421900,59304,421900
51059422000,59304,422000
51059422101,59304,422101
51059422102,59304,422102
51059422201,59304,422201
51059422202,59304,422202
51059422301,59302,422301
51059422302,59306,422302
51059422401,59306,422401
51059422402,59306,422402
51059422403,59302,422403
51059430101,59303,430101
51059430102,59303,430102
51059430201,59303,430201
51059430202,59303,430202
51059430203,59303,430203
51059430400,59306,430400
51059430500,59306,430500
51059430600,59306,430600
51059430700,59306,430700
51059430801,59306,430801
51059430802,59306,430802
51059430901,59306,430901
51059430902,59303,430902
51059431001,59303,431001
51059431002,59303,431002
51059431300,59303,431300
51059431400,59306,431400
51059431500,59306,431500
51059431601,59306,431601
51059431602,59306,431602
51059431801,59303,431801
51059431802,59303,431802
51059431900,59303,431900
51059432000,59303,432000
51059432100,59303,432100
51059432201,59303,432201
51059432202,59303,432202
51059432300,59303,432300
51059432401,59303,432401
51059432402,59303,432402
51059432500,59303,432500
51059432600,59303,432600
51059432701,59306,432701
51059432702,59306,432702
51059432800,59306,432800
51059440100,59303,440100
51059440201,59303,440201
51059440202,59303,440202
51059440300,59303,440300
51059440501,59303,440501
51059440503,59303,440503
51059440504,59303,440504
51059440505,59303,440505
51059440600,59303,440600
51059440701,59303,440701
51059440702,59303,440702
51059440800,59303,440800
51059450100,59301,450100
51059450200,59301,450200
51059450300,59301,450300
51059450400,59301,450400
51059450500,59301,450500
51059450601,59301,450601
51059450602,59301,450602
51059450701,59301,450701
51059450702,59301,450702
51059450800,59301,450800
51059450900,59301,450900
51059451000,59301,451000
51059451100,59301,451100
51059451200,59301,451200
51059451300,59301,451300
51059451400,59301,451400
51059451501,59301,451501
51059451502,59301,451502
51059451601,59301,451601
51059451602,59301,451602
51059451800,59301,451800
51059451900,59301,451900
51059452000,59301,452000
51059452101,59301,452101
51059452102,59301,452102
51059452200,59301,452200
51059452301,59301,452301
51059452302,59301,452302
51059452400,59301,452400
51059452501,59301,452501
51059452502,59301,452502
51059452600,59301,452600
51059452700,59301,452700
51059452801,59301,452801
51059452802,59301,452802
51059460100,59305,460100
51059460200,59305,460200
51059460300,59305,460300
51059460400,59305,460400
51059460501,59305,460501
51059460503,59305,460503
51059460504,59305,460504
51059460600,59305,460600
51059460701,59305,460701
51059460702,59305,460702
51059460800,59305,460800
51059460900,59305,460900
51059461000,59305,461000
51059461100,59305,461100
51059461201,59305,461201
51059461202,59305,461202
51059461500,59305,461500
51059461603,59305,461603
51059461604,59305,461604
51059461605,59305,461605
51059461606,59305,461606
51059461700,59305,461700
51059461801,59305,461801
51059461802,59305,461802
51059461901,59305,461901
51059461902,59305,461902
51059470100,59308,470100
51059470300,59308,470300
51059470400,59308,470400
51059470500,59308,470500
51059470600,59308,470600
51059470700,59308,470700
51059470800,59308,470800
51059470900,59308,470900
51059471000,59308,471000
51059471100,59308,471100
51059471201,59308,471201
51059471203,59308,471203
51059471204,59308,471204
51059471301,59308,471301
51059471303,59308,471303
51059471304,59308,471304
51059471401,59308,471401
51059471402,59308,471402
51059480100,59308,480100
51059480201,59308,480201
51059480203,59305,480203
51059480204,59308,480204
51059480205,59308,480205
51059480301,59308,480301
51059480302,59308,480302
51059480401,59308,480401
51059480402,59308,480402
51059480501,59307,480501
51059480502,59307,480502
51059480503,59307,480503
51059480504,59307,480504
51059480505,59307,480505
51059480801,59307,480801
51059480802,59307,480802
51059480901,59307,480901
51059480902,59307,480902
51059480903,59307,480903
51059481000,59307,481000
51059481101,59307,481101
51059481102,59307,481102
51059481103,59307,481103
51059481104,59307,481104
51059481105,59307,481105
51059481106,59307,481106
51059481201,59307,481201
51059481202,59307,481202
51059481400,59307,481400
51059481500,59305,481500
51059481600,59305,481600
51059481701,59305,481701
51059481702,59305,481702
51059481900,59307,481900
51059482001,59307,482001
51059482002,59307,482002
51059482100,59307,482100
51059482201,59307,482201
51059482203,59307,482203
51059482204,59307,482204
51059482205,59307,482205
51059482206,59307,482206
51059482301,59307,482301
51059482302,59307,482302
51059482303,59307,482303
51059482400,59307,482400
51059482502,59307,482502
51059482503,59307,482503
51059482504,59307,482504
51059482505,59307,482505
51059482506,59307,482506
51059482507,59307,482507
51059482601,59307,482601
51059482603,59307,482603
51059482604,59307,482604
51059490101,59309,490101
51059490104,59309,490104
51059490105,59309,490105
51059490501,59304,490501
51059490502,59304,490502
51059491000,59309,491000
51059491101,59309,491101
51059491102,59309,491102
51059491103,59309,491103
51059491201,59309,491201
51059491202,59309,491202
51059491301,59309,491301
51059491302,59309,491302
51059491303,59309,491303
51059491401,59304,491401
51059491402,59304,491402
51059491403,59304,491403
51059491404,59304,491404
51059491405,59304,491405
51059491501,59309,491501
51059491502,59309,491502
51059491601,59309,491601
51059491602,59309,491602
51059491701,59309,491701
51059491703,59309,491703
51059491704,59309,491704
51059491705,59309,491705
51059491706,59309,491706
51059491707,59309,491707
51059491801,59309,491801
51059491802,59309,491802
51059491803,59309,491803
51059492000,59304,492000
51059492100,59304,492100
51059492201,59304,492201
51059492202,59304,492202
51059492203,59304,492203
51059492300,59304,492300
51059492400,59304,492400
51059492500,59304,492500
51059980100,59306,980100
51059980200,59307,980200
51059980300,59308,980300
