"rowname","variable","value","geoid"
"I.1","hh1",39.855,"51600300500"
"I.2","hh1",23.712,"51600300500"
"I.3","hh1",18.8,"51600300500"
"I.4","hh1",19.418,"51600300500"
"I.5","hh1",28.405,"51600300500"
"I.6","hh1",56.799,"51600300500"
"I.7","hh1",52.89,"51600300500"
"I.8","hh1",22.924,"51600300500"
"I.9","hh1",18.197,"51600300500"
"I.1","hh2",8.997,"51600300500"
"I.2","hh2",27.302,"51600300500"
"I.3","hh2",21.348,"51600300500"
"I.4","hh2",17.336,"51600300500"
"I.5","hh2",25.441,"51600300500"
"I.6","hh2",115.46,"51600300500"
"I.7","hh2",114.112,"51600300500"
"I.8","hh2",89.104,"51600300500"
"I.9","hh2",138.901,"51600300500"
"I.1","hh3",1.404,"51600300500"
"I.2","hh3",1.577,"51600300500"
"I.3","hh3",5.155,"51600300500"
"I.4","hh3",6.829,"51600300500"
"I.5","hh3",7.767,"51600300500"
"I.6","hh3",24.785,"51600300500"
"I.7","hh3",39.517,"51600300500"
"I.8","hh3",33.89,"51600300500"
"I.9","hh3",68.077,"51600300500"
"I.1","hh4",3.905,"51600300500"
"I.2","hh4",3.131,"51600300500"
"I.3","hh4",11.955,"51600300500"
"I.4","hh4",4.851,"51600300500"
"I.5","hh4",10.966,"51600300500"
"I.6","hh4",54.316,"51600300500"
"I.7","hh4",56.329,"51600300500"
"I.8","hh4",61.521,"51600300500"
"I.9","hh4",100.027,"51600300500"
"I.1","hh5",5.84,"51600300500"
"I.2","hh5",0.278,"51600300500"
"I.3","hh5",3.743,"51600300500"
"I.4","hh5",2.567,"51600300500"
"I.5","hh5",2.421,"51600300500"
"I.6","hh5",8.64,"51600300500"
"I.7","hh5",20.152,"51600300500"
"I.8","hh5",22.562,"51600300500"
"I.9","hh5",37.798,"51600300500"
"I.1","hh1",22.442,"51600300400"
"I.2","hh1",14.544,"51600300400"
"I.3","hh1",14.353,"51600300400"
"I.4","hh1",22.271,"51600300400"
"I.5","hh1",27.977,"51600300400"
"I.6","hh1",35.164,"51600300400"
"I.7","hh1",33.932,"51600300400"
"I.8","hh1",19.902,"51600300400"
"I.9","hh1",13.416,"51600300400"
