"","puma","serialno","hh_comb","index","hh_size_recode","hh_income_cat","hh_income"
"1","59301","2017000005331","2:200000",32,2,"$100,000 to $149,999",145000
"2","59301","2017000016754","2:200000",27,2,"$75,000 to $99,999",94340
"3","59301","2017000019969","1:100000",21,1,"$50,000 to $74,999",63000
"4","59301","2017000021484","3:300000",23,3,"$50,000 to $74,999",54700
"5","59301","2017000023818","3:300000",43,3,"$200,000 or more",387500
"6","59301","2017000024998","1:100000",26,1,"$75,000 to $99,999",97400
"7","59301","2017000026668","2:200000",22,2,"$50,000 to $74,999",63000
"8","59301","2017000029790","1:100000",36,1,"$150,000 to $199,999",160000
"9","59301","2017000032319","5:410000",45,5,"$200,000 or more",275000
"10","59301","2017000032598","2:200000",42,2,"$200,000 or more",324000
"11","59301","2017000032968","7:221101",20,5,"$35,000 to $49,999",37000
"12","59301","2017000036246","4:310000",39,4,"$150,000 to $199,999",175600
"13","59301","2017000040845","3:300000",43,3,"$200,000 or more",217000
"14","59301","2017000041393","3:300000",28,3,"$75,000 to $99,999",92200
"15","59301","2017000044102","2:200000",22,2,"$50,000 to $74,999",55000
"16","59301","2017000047622","4:200020",29,4,"$75,000 to $99,999",92000
"17","59301","2017000047863","1:100000",11,1,"$25,000 to $34,999",25000
"18","59301","2017000052081","3:200010",38,3,"$150,000 to $199,999",190000
"19","59301","2017000059301","1:100000",16,1,"$35,000 to $49,999",42500
"20","59301","2017000062476","2:200000",42,2,"$200,000 or more",278000
"21","59301","2017000062865","4:310000",29,4,"$75,000 to $99,999",77800
"22","59301","2017000066117","2:200000",22,2,"$50,000 to $74,999",67600
"23","59301","2017000066351","4:200020",29,4,"$75,000 to $99,999",77000
"24","59301","2017000069093","1:100000",1,1,"Less than $15,000",8600
"25","59301","2017000073234","3:300000",NA,3,NA,0
"26","59301","2017000073506","1:100000",41,1,"$200,000 or more",362650
"27","59301","2017000075713","1:100000",21,1,"$50,000 to $74,999",67000
"28","59301","2017000077036","2:200000",42,2,"$200,000 or more",275000
"29","59301","2017000077512","2:200000",22,2,"$50,000 to $74,999",53900
"30","59301","2017000079791","3:200010",38,3,"$150,000 to $199,999",182830
"31","59301","2017000080149","7:511000",30,5,"$75,000 to $99,999",89600
"32","59301","2017000082371","6:203100",20,5,"$35,000 to $49,999",42000
"33","59301","2017000085670","8:313100",35,5,"$100,000 to $149,999",128000
